group_col,group_val,n,auc,gini,event_rate,auc_delta
OVERALL,All,24000,0.8612770445937802,0.7225540891875604,0.22375,0.0
SEX,1,8922,0.8554,0.7108,0.2451,-0.0059
SEX,2,15078,0.864,0.7281,0.2111,0.0028
EDUCATION,1,8443,0.8638,0.7275,0.1957,0.0025
EDUCATION,2,11360,0.8569,0.7138,0.239,-0.0044
EDUCATION,3,3850,0.8602,0.7204,0.2548,-0.0011
EDUCATION,4,347,0.8727,0.7455,0.0634,0.0115
MARRIAGE,1,10813,0.8604,0.7207,0.2383,-0.0009
MARRIAGE,2,12877,0.8619,0.7237,0.2113,0.0006
MARRIAGE,3,310,0.8511,0.7023,0.2323,-0.0101
