feature,iv,n_bins,flag
MAX_DELINQUENCY,0.4859,4,
UTIL_X_DELINQUENCY,0.4524,3,
PAY_4,0.3532,4,
PAY_5,0.3434,10,
CHRONIC_DELINQUENT,0.3105,2,
MONTHS_PAID_ZERO,0.2803,7,
PAY_RATIO_MIN,0.2344,5,
LIMIT_BAL,0.194,10,
AGE_LIMIT_RATIO,0.1926,10,
BALANCE_CHANGE_3M,0.1493,10,
TOTAL_PAY_RATIO,0.1451,10,
BALANCE_CHANGE_6M,0.1361,10,
BILL_AMT_VELOCITY,0.1187,10,
PAY_AMT3,0.1069,8,
STRESS_SCORE,0.1031,8,
LIMIT_TO_AVG_BILL,0.1025,8,
PAY_RATIO_2,0.0934,8,
PAY_RATIO_3,0.0919,8,
PAY_AMT6,0.0901,8,
PAY_RATIO_4,0.0871,8,
PAY_AMT4,0.0859,8,
UTIL_TREND,0.0846,10,
PAY_RATIO_6,0.0818,8,
PAY_AMT5,0.0771,8,
DELINQUENCY_TREND,0.074,4,
PAY_RATIO_5,0.0695,8,
PAY_AMT_ACCEL,0.0602,10,
UTIL_VELOCITY,0.0551,10,
EDUCATION,0.0383,4,
UTIL_STD,0.0299,10,
BILL_AMT5,0.0133,10,DROP (low IV)
SEX,0.0085,2,DROP (low IV)
MARRIAGE,0.0042,3,DROP (low IV)
