feature,psi,status
PAY_AMT3,0.04593,🟢 STABLE
MAX_DELINQUENCY,0.0131,🟢 STABLE
PAY_1,0.0091,🟢 STABLE
PAY_AMT2,0.00725,🟢 STABLE
BALANCE_CHANGE_6M,0.00676,🟢 STABLE
AVG_MONTHLY_PAYMENT,0.00661,🟢 STABLE
MONTHS_PAID_ZERO,0.00655,🟢 STABLE
BILL_AMT2,0.00619,🟢 STABLE
TOTAL_DELINQUENCY_SCORE,0.00484,🟢 STABLE
AGE_LIMIT_RATIO,0.00463,🟢 STABLE
PAY_RATIO_MIN,0.0046,🟢 STABLE
N_MONTHS_DELINQUENT,0.00459,🟢 STABLE
UTIL_X_DELINQUENCY,0.00444,🟢 STABLE
UTIL_2,0.00372,🟢 STABLE
UTIL_1,0.00365,🟢 STABLE
PAY_AMT1,0.00349,🟢 STABLE
UTIL_VELOCITY,0.00306,🟢 STABLE
PAY_RATIO_1,0.00268,🟢 STABLE
BALANCE_CHANGE_3M,0.00216,🟢 STABLE
RECENT_2M_DELINQUENT,0.0,🟢 STABLE
