Feature,Bin,N_Total,Event_Rate,WoE,Coefficient,Points
CHRONIC_DELINQUENT,0,17522,0.1851,-0.2383,0.1059,0.9
CHRONIC_DELINQUENT,1,1678,0.6275,1.7656,0.1059,-9.9
PAY_3,-1,3845,0.1623,-0.3974,0.2374,3.8
PAY_3,-2,2625,0.1878,-0.2204,0.2374,1.7
PAY_3,0,10004,0.1758,-0.3009,0.2374,2.7
PAY_3,1,3,0.3333,0.5508,0.2374,-7.5
PAY_3,2,2475,0.5131,1.2965,0.2374,-16.3
PAY_3,3,146,0.5959,1.6323,0.2374,-20.3
PAY_3,4,54,0.5556,1.4671,0.2374,-18.4
PAY_3,5,12,0.6667,1.9371,0.2374,-23.9
PAY_3,6,19,0.5789,1.5624,0.2374,-19.5
PAY_3,7,17,0.7647,2.4226,0.2374,-29.7
PAY_5,-1,3581,0.1667,-0.3652,0.1602,2.6
PAY_5,-2,2888,0.2015,-0.1329,0.1602,0.6
PAY_5,0,10752,0.1882,-0.2175,0.1602,1.4
PAY_5,2,1754,0.5376,1.3947,0.1602,-12.5
PAY_5,3,121,0.6694,1.9495,0.1602,-17.2
PAY_5,4,61,0.5902,1.6086,0.1602,-14.3
PAY_5,5,10,0.6,1.6494,0.1602,-14.6
PAY_5,6,2,1.0,13.051,0.1602,-112.3
PAY_5,7,31,0.8065,2.6711,0.1602,-23.4
PAY_4,-1,3655,0.1663,-0.3678,0.0048,0.1
PAY_4,-2,2756,0.1945,-0.1772,0.0048,0.0
PAY_4,0,10567,0.1863,-0.2301,0.0048,0.0
PAY_4,1,2,0.5,1.2439,0.0048,-0.3
PAY_4,2,1988,0.5206,1.3265,0.0048,-0.4
PAY_4,3,131,0.6183,1.7264,0.0048,-0.5
PAY_4,4,40,0.65,1.863,0.0048,-0.5
PAY_4,5,27,0.5185,1.3181,0.0048,-0.4
PAY_4,6,4,0.5,1.2439,0.0048,-0.3
PAY_4,7,30,0.8,2.6302,0.0048,-0.7
PAY_6,-1,3774,0.1749,-0.3075,0.0706,1.1
PAY_6,-2,3101,0.2025,-0.1267,0.0706,0.3
PAY_6,0,10253,0.1909,-0.2004,0.0706,0.6
PAY_6,2,1861,0.4895,1.202,0.0706,-5.3
PAY_6,3,138,0.6304,1.778,0.0706,-7.8
PAY_6,4,30,0.6333,1.7905,0.0706,-7.8
PAY_6,5,6,0.8333,2.8534,0.0706,-12.3
PAY_6,6,10,0.8,2.6302,0.0706,-11.4
