feature,mean_abs_shap
MAX_DELINQUENCY,0.20059639782486718
PAY_1,0.12708057994133534
RECENT_2M_DELINQUENT,0.12532206230750204
TOTAL_DELINQUENCY_SCORE,0.08051811584089587
BILL_AMT1,0.08018086885759887
N_MONTHS_DELINQUENT,0.07278303763333589
UTIL_2,0.05996958253393437
PAY_AMT1,0.05870550739522458
AVG_MONTHLY_PAYMENT,0.05396431930238569
AGE_LIMIT_RATIO,0.053751545979660004
PAY_AMT2,0.0497649504340385
PAY_AMT3,0.044939835643987736
BALANCE_CHANGE_1M,0.04475633327789678
UTIL_1,0.0410265176294439
PAY_RATIO_MIN,0.04079789412926553
MONTHS_PAID_ZERO,0.036895327111860964
UTIL_X_DELINQUENCY,0.036525807150955034
BILL_AMT2,0.03572121789940464
LIMIT_BAL,0.0341567046549036
BALANCE_CHANGE_3M,0.033599480370840325
